Scenario,Period,LoadLevel,CB_Callao,CB_Huaycoloro_I,CB_Huaycoloro_II,CB_La_Gringa_V,CB_Maple,CB_Oquendo-TG1,CB_Paramonga,CE_Cupisnique_I,CE_Duna,CE_Huambos,CE_Marcona,CE_Parque_Malabrigo,CE_Parque_Nazca,CE_Parque_Pampa_Salinas,CE_Piura,CE_Talara,CE_Tres_Hermanas,CE_Yacila,CH_8_de_Agosto,CH_Alli,CH_Amazonas,CH_Angel_I,CH_Angel_II,CH_Angel_III,CH_Aricota_I,CH_Aricota_II,CH_Aricota_III,CH_Ayanunga,CH_Banhos_V,CH_Belo_Horizonte,CH_Cahua,CH_Callahuanca,CH_Callahuanca-G4,CH_Campanayocc,CH_Canchayllo,CH_Canha_Brava,CH_Canhon_Del_Pato,CH_Carhuac,CH_Carpapata,CH_Carpapata_III,CH_Cativen_1,CH_Cativen_2,CH_Centauro_I,CH_Centauro_II,CH_Cerro_del_Aguila,CH_Chaglla,CH_Chancay,CH_Charcani_I,CH_Charcani_II,CH_Charcani_III,CH_Charcani_IV,CH_Charcani_V,CH_Charcani_VI,CH_Cheves_I,CH_Chilcay,CH_Chilia,CH_Chimay,CH_Churo,CH_Cola_1,CH_Colca,CH_Curibamba,CH_Curumuy,CH_El_Carmen,CH_Gallito_Ciego,CH_Her_1,CH_Huampani,CH_Huanchor,CH_Huanza,CH_Huasahuasi_I,CH_Huasahuasi_II,CH_Huasicancha,CH_Huatziroki_I,CH_Huayllacho,CH_Huinco,CH_Hydrika_1,CH_Hydrika_2,CH_Hydrika_3,CH_Hydrika_4,CH_Hydrika_5,CH_Hydrika_6,CH_Karpa,CH_Kusa,CH_La_Joya,CH_La_Virgen,CH_Laguna_Azul,CH_Langui_II,CH_Las_Cruces,CH_Las_Orquideas,CH_Las_Pizarras,CH_Lluclla,CH_Lluta1,CH_Lluta2,CH_Machupicchu,CH_Machupicchu_II,CH_Macon,CH_Malpaso,CH_Manta,CH_Mantaro,CH_Maranhon,CH_Matucana,CH_Milloc,CH_Misapuquio,CH_Molloco-Llatica,CH_Molloco-Soro,CH_Moyopampa,CH_Muchcapata,CH_Nueva_Esperanza,CH_Nueva_Imperial,CH_Oco2010,CH_Olmos_1,CH_Oroya,CH_Pachachaca,CH_Pallca,CH_Pariac,CH_Pelagatos,CH_Pias_I,CH_Platanal,CH_Poechos_I,CH_Poechos_II,CH_Potrero,CH_Purmacana,CH_Quitaracsa,CH_RenovAndes_H1,CH_Restitucion,CH_Roca_Grande,CH_Roncador,CH_Rucuy,CH_Runatullu_II,CH_Runatullu_III,CH_San_Antonio,CH_San_Gaban_II,CH_San_Ignacio,CH_San_Marcos,CH_Santa_Cruz_I,CH_Santa_Cruz_II,CH_Santa_Lorenza_I,CH_Santa_Teresa,CH_Santa_Teresa_2,CH_Santa_Teresa_Amp,CH_Shima,CH_Tambo1,CH_Tarucani,CH_Tingo,CH_Tulumayo_IV,CH_Tulumayo_V,CH_Utcubamba,CH_Vilcanota_2,CH_Viroc,CH_Yanango,CH_Yanapampa,CH_Yarucaya,CH_Yaupi,CH_Yuncan,CH_Zanha_1,CS_Fotovoltaica_La_Joya,CS_Intipampa,CS_Majes,CS_Moquegua_FV,CS_Pampa_de_Siguas,CS_Panamericana,CS_Reparticion,CS_Rubi,CS_Santa_Bertha,CS_Tacna,CT_Aguaytia-TG1,CT_Aguaytia-TG2,CT_Bellavista,CT_Bellavista_ALCO,CT_Calana-D,CT_Centro-TG1,CT_Centro-TG2,CT_Centro-TG3,CT_Centro-TG4,CT_Chilayo,CT_Chilca-TG1,CT_Chilca-TG2,CT_Chilca-TG3,CT_Chilca_1-CC,CT_Chilca_2-CC,CT_Chilca_2-TG41,CT_Chilina-SLZ,CT_Chilina-TG,CT_Chilina-TV2,CT_Chilina-TV3,CT_Chimbote-TG,CT_Dolorespata,CT_El_Faro-CC,CT_El_Faro-TG,CT_Eten,CT_Fenix-CC,CT_Fenix-TG1TG2,CT_Huachipa,CT_Ilo_1-CAT,CT_Ilo_1-TG1,CT_Ilo_1-TG2,CT_Ilo_1-TV3,CT_Ilo_1-TV4,CT_Ilo_2-TV21,CT_Ilo_4-CC,CT_Ilo_4-CS,CT_Ilo_4-DD,CT_Independencia,CT_Iquitos,CT_Kallpa-CC,CT_Kallpa-TG1,CT_Kallpa-TG2,CT_Kallpa-TG3,CT_La_Pamplilla,CT_Las_Flores,CT_Libertadores-CC,CT_Malacas-TG1,CT_Malacas-TG2,CT_Malacas-TG4,CT_Malacas-TG4H2O,CT_Malacas-TG5,CT_Malacas-TG6,CT_Marco_-2TG+TV,CT_Mollendo,CT_Mollendo-Emerg,CT_Mollendo-TG,CT_Moyobamba,CT_Norte-2TG+TV1,CT_Norte-2TG+TV2,CT_Norte-2TG+TV3,CT_Norte-TG1,CT_Norte-TG2,CT_Norte-TG3,CT_Nueva_Esperanza,CT_Olleros-CC,CT_Olleros-TG1,CT_Paita,CT_Pisco,CT_Piura,CT_Piura-CC,CT_Piura-Emerg,CT_Piura-TG,CT_Planta_Ilo-CS,CT_Planta_Ilo-DD,CT_Pucallpa,CT_Puerto_Bravo-CC,CT_Puerto_Bravo-CS,CT_Puerto_Bravo-DD,CT_Puerto_Maldonado,CT_Puerto_Maldonado-Emerg,CT_Quillabamba,CT_Recka,CT_Refineria_Talara,CT_San_Nicolas-CUM,CT_San_Nicolas-TV,CT_Santa_Rosa-CC8,CT_Santa_Rosa-TG7,CT_Santa_Rosa-TG8,CT_Santa_Rosa-UTI5-D,CT_Santa_Rosa-UTI6-D,CT_Shougan-D2,CT_Sullana,CT_Sulpay-TG,CT_Sur_-2TG+TV1,CT_Sur_-2TG+TV2,CT_Sur_-2TG+TV3,CT_Sur_Ilo-TG3,CT_Sur_Mollendo-TG1,CT_Sur_Mollendo-TG2,CT_Tablazo,CT_Taparachi,CT_Tarapoto,CT_Trujillo-D2,CT_Trujillo-TG,CT_Tumbes-MAK1,CT_Tumbes-MAK2,CT_Ventanilla-CC,CT_Ventanilla-CCTG3,CT_Ventanilla-CCTG4,CT_Ventanilla-TG3,CT_Ventanilla-TG4,CT_Yarinacocha,Ciclo_Combinado_SurMedio1A,Ciclo_Combinado_SurMedio2A,Ciclo_Combinado_SurMedio2B,Ciclo_Combinado_SurMedio3A,Ciclo_Combinado_SurMedio3B,Eolica_Centro,Eolica_Norte,RER-Ica,RER-La_Libertad,RER-Lambayeque,RER-Moquegua,Termosolar_1,Termosolar_2
sc01,y2030,2030-01-01T03:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.2489955,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.08669698,7.516046507,7.516046507,7.516046507,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.67685364,14.39631706,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.875,11.875,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.28,8.01369863,71.11135297,12.49999999,5.136986301,28.43567998,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.1856767690000005,4.948541415,6.1856767690000005,6.849315067999999,13.12785388,8.279680365000003,7.744999995,23.95651998,14.84018265,2.03,10.220000000000002,11.34,10.22727272,236.6999998,214.3999999,60.64999996000001,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.58,3.799999998,115.2799999,164.7199999,62.64702832999999,5.67,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.59999999,9.338275482,15.27472182,1.79,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000003,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.90939997,112.5825621,24.23999998,6.7644,41.3,33.95,6.16,28.0,45.5,136.2044052,13.86,9.1,18.224066990000004,3.3110524980000005,13.12785388,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,0.0,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,307.70207805249345,0.0,13.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.7011077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.513846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
sc01,y2030,2030-01-01T07:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.248995499999996,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.086696979999996,7.5160465069999995,7.5160465069999995,7.5160465069999995,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.676853639999997,14.396317059999998,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.874999999999998,11.874999999999998,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.279999999999999,8.01369863,71.11135297,12.49999999,5.136986301,28.435679979999996,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.185676769,4.948541415,6.185676769,6.849315068,13.127853879999998,8.279680365000003,7.744999995,23.95651998,14.84018265,2.03,10.220000000000002,11.340000000000002,10.22727272,236.6999998,214.3999999,60.64999996000002,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.580000000000002,3.7999999980000005,115.27999990000002,164.7199999,62.64702832999999,5.670000000000001,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.599999990000002,9.338275482,15.27472182,1.7900000000000003,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000007,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.909399969999996,112.5825621,24.239999980000004,6.764399999999999,41.3,33.95,6.16,28.0,45.5,136.2044052,13.860000000000001,9.1,18.224066990000004,3.3110524980000005,13.127853879999998,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,0.56,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.1209556975351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,2.96931314132267,0.0,13.056,0.0,0.0,0.0,0.0,1.8987450500773662e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.89428232725349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.51384600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
sc01,y2030,2030-01-01T11:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.248995499999996,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.08669698,7.5160465069999995,7.5160465069999995,7.5160465069999995,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.67685364,14.39631706,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.874999999999998,11.875,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.279999999999999,8.01369863,71.11135297,12.49999999,5.136986301,28.43567998,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.185676769,4.948541415,6.185676769,6.849315068,13.127853879999998,8.279680365000003,7.744999995,23.95651998,14.84018265,2.03,10.220000000000002,11.34,10.22727272,236.6999998,214.3999999,60.64999996000002,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.58,3.7999999980000005,115.27999990000002,164.7199999,62.64702832999999,5.670000000000001,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.59999999,9.338275482,15.27472182,1.7900000000000003,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000007,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.909399969999996,112.5825621,24.23999998,6.7644,41.3,33.95,6.16,28.0,45.5,136.2044052,13.86,9.1,18.224066990000004,3.3110524980000005,13.127853879999998,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,9.478589421,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,448.08877483139906,0.0,13.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.7011077,0.0,0.0,0.0,0.0,23.45108380784977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.51384600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
sc01,y2030,2030-01-01T15:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.2489955,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.08669698,7.516046507,7.516046507,7.516046507,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.67685364,14.39631706,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.875,11.875,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.28,8.01369863,71.11135297,12.49999999,5.136986301,28.43567998,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.1856767690000005,4.948541415,6.1856767690000005,6.849315067999999,13.12785388,8.279680365000003,7.744999995,23.95651998,14.84018265,2.03,10.220000000000002,11.34,10.22727272,236.6999998,214.3999999,60.64999996000001,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.58,3.799999998,115.2799999,164.7199999,62.64702832999999,5.67,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.59999999,9.338275482,15.27472182,1.79,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000003,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.90939997,112.5825621,24.23999998,6.7644,41.3,33.95,6.16,28.0,45.5,136.2044052,13.86,9.1,18.224066990000004,3.3110524980000005,13.12785388,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,9.478589421,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,558.3844396000001,0.0,13.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.7011077,0.0,0.0,0.0,0.0,236.67271683299455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.513846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
sc01,y2030,2030-01-01T19:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.2489955,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.08669698,7.516046507,7.516046507,7.516046507,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.67685364,14.39631706,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.875,11.875,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.28,8.01369863,71.11135297,12.49999999,5.136986301,28.43567998,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.1856767690000005,4.948541415,6.1856767690000005,6.849315067999999,13.12785388,8.279680365000003,7.744999995,23.95651998,14.84018265,2.03,10.220000000000002,11.34,10.22727272,236.6999998,214.3999999,60.64999996000001,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.58,3.799999998,115.2799999,164.7199999,62.64702832999999,5.67,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.59999999,9.338275482,15.27472182,1.79,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000003,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.90939997,112.5825621,24.23999998,6.7644,41.3,33.95,6.16,28.0,45.5,136.2044052,13.86,9.1,18.224066990000004,3.3110524980000005,13.12785388,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,9.478589421,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,558.3844396000001,0.0,13.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.7011077,0.0,0.0,0.0,0.0,235.529260370496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.513846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
sc01,y2030,2030-01-01T23:00:00+01:00,1.98630137,4.227246805,1.98630137,2.9058673620000004,14.89392398,27.567537130000005,12.563800479999998,34.583561640000006,9.452054795,9.872146119000002,16.93812785,24.248995499999996,65.4109589,20.20749625,100.0,13.66130137,47.46118721,27.11172414,15.98173516,7.913242008999999,26.086696979999996,7.5160465069999995,7.5160465069999995,7.5160465069999995,17.49999999,10.49999999,13.26550637,15.02853881,6.51,48.28799997,42.68040150000001,27.676853639999997,14.396317059999998,3.234,5.189,2.047692306,78.12010315,11.07305936,10.925,12.8,14.80999999,14.219999990000002,11.874999999999998,11.874999999999998,271.77146120000003,336.280462,19.99999999,1.6747899990000001,0.58,4.499999997,2.95794315,134.49599990000002,8.930861718,107.1051257,8.407,81.32291404,20.70276945,9.731519994,7.279999999999999,8.01369863,71.11135297,12.49999999,5.136986301,28.435679979999996,0.53196347,27.93279998,18.08931185,89.99999994,9.534799994,9.894895994,4.375,8.25,0.18600000000000003,185.4749999,4.082546668,2.4742707080000006,6.185676769,4.948541415,6.185676769,6.849315068,13.127853879999998,8.279680365000003,7.744999995000001,23.95651998,14.84018265,2.03,10.220000000000002,11.340000000000002,10.22727272,236.6999998,214.3999999,60.64999996000002,38.85713197,97.15812831,7.0,46.75199997,14.554794520000002,614.9148836,16.2729886,117.02599990000002,13.580000000000002,3.7999999980000005,115.27999990000002,164.7199999,62.64702832999999,5.670000000000001,6.537999999999999,3.599999998,58.25633276,49.99999997,8.287499995,6.585440609,7.070000000000001,4.399999997,14.0,11.99299999,39.88984204,15.599999990000002,9.338275482,15.27472182,1.7900000000000003,37.60123011,17.12328767,200.4542536,14.0,3.4799999980000007,19.99999999,19.967,19.965999999999998,0.470890411,108.8355476,0.32,8.33,3.4071869980000002,3.554849998,15.98173516,53.909399969999996,112.5825621,24.239999980000004,6.764399999999999,41.3,33.95,6.16,28.0,45.5,136.2044052,13.860000000000001,9.1,18.224066990000004,3.3110524980000005,13.127853879999998,91.83419994000002,89.18657649,9.239726027,10.10374813,27.30579345,0.0,10.83123426,10.66506747,12.76473552,9.430730479,104.534005,27.78530735,11.88816121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8775,0.0,0.0,0.0,558.3844396000001,0.0,13.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.1057069978786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418900000000002,86.30162375,18.80565503,0.0,49.26984456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.7011077,0.0,0.0,0.0,0.0,496.0567120993636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10755,0.0,0.0,0.0,0.0,0.0,0.0,474.51384600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,30.0,15.0,24.0,9.000000000000002,120.0,120.0
